timestamp,InstanceId,InstanceType,Average
1645671600,i-09b6d01107ebd7eb5,c5.xlarge,35.966666666666654
1645671600,i-0a83fe41a15aef9c8,c5.xlarge,25.436666666666667
1645671600,i-07d5b9ec2028c3771,c5.xlarge,38.645
1645671600,i-0ed638966ff4f5b69,c4.xlarge,42.0833333333333
1645671600,i-0b0f319ca325250f3,c5.xlarge,31.491666666666667
1645671600,i-0ced63ca7c86a87bb,c5.xlarge,38.745000000000005
1645671600,i-0d648bb94dbe49d8b,c5.xlarge,33.68666666666664
1645671600,i-00cea19d74facb809,c4.xlarge,40.7499999999982
1645671600,i-08778d56ed460e9d2,c5.xlarge,30.10333333333332
1645671600,i-08f9bcf10183c7853,c5.xlarge,40.966666666666654
1645671600,i-02bf9b25ca48d8bef,c5.xlarge,29.461175647072544
1645671600,i-0f403605cdecdc6b6,c5.xlarge,37.608333333333334
1645671600,i-08e6a8f6341fa29b0,c5.xlarge,39.33666666666664
1645671600,i-08e45cfeeeaafbacd,c5.xlarge,31.491666666666667
1645671600,i-04c1c33d257a83d53,c5.xlarge,31.424999999999997
1645671600,i-0ca6feceff1f850be,c5.xlarge,25.595
1645671600,i-0466050a9b0376c72,c5.xlarge,47.83333333333333
1645671600,i-0d1d083385ab7cc45,c4.xlarge,47.66666666666729
1645671600,i-073800fac16d74275,c5.xlarge,29.895
1645671600,i-0dc859bbe183793bf,c5.xlarge,40.51166666666665
1645671600,i-0493995e29e4b33d9,c5.xlarge,41.036666666666655
1645671600,i-0a1b5048e22192648,c4.xlarge,47.66666666666729
1645671600,i-0780ed8b620be2d7f,c5.xlarge,41.18666666666665
1645671600,i-0f6265602463f30f3,c5.xlarge,32.55833333333333
1645671600,i-011c0edefc8df72e1,c5.xlarge,29.228333333333318
1645671600,i-08a79d2c4e927ad43,c4.xlarge,44.04166666666848
1645671600,i-024a2cd4c58cafdf3,c5.xlarge,30.278333333333325
1645671600,i-054cea93b4cd0904c,c5.xlarge,34.6
1645671600,i-04ea7b96967ddc859,c5.xlarge,28.278333333333322
1645671600,i-07115560329abac18,c4.xlarge,42.8750000000006
1645671660,i-09b6d01107ebd7eb5,c5.xlarge,45.875
1645671660,i-0a83fe41a15aef9c8,c5.xlarge,41.41166666666665
1645671660,i-07d5b9ec2028c3771,c5.xlarge,40.79500000000001
1645671660,i-0ed638966ff4f5b69,c4.xlarge,40.54166666666479
1645671660,i-0b0f319ca325250f3,c5.xlarge,38.286666666666655
1645671660,i-0ced63ca7c86a87bb,c5.xlarge,42.47
1645671660,i-0d648bb94dbe49d8b,c5.xlarge,34.70833333333334
1645671660,i-00cea19d74facb809,c4.xlarge,53.833333333335204
1645671660,i-08778d56ed460e9d2,c5.xlarge,42.52070867847798
1645671660,i-08f9bcf10183c7853,c5.xlarge,39.961666666666645
1645671660,i-02bf9b25ca48d8bef,c5.xlarge,42.209036817280285
1645671660,i-0f403605cdecdc6b6,c5.xlarge,43.011666666666635
1645671660,i-08e6a8f6341fa29b0,c5.xlarge,41.28333333333333
1645671660,i-08e45cfeeeaafbacd,c5.xlarge,44.06166666666665
1645671660,i-04c1c33d257a83d53,c5.xlarge,38.875
1645671660,i-0ca6feceff1f850be,c5.xlarge,47.428333333333335
1645671660,i-0466050a9b0376c72,c5.xlarge,59.275000000000006
